Ticker Yahoo Finance,Nombre Empresa,Sectores
MSFT,Microsoft,Tecnologia
AAPL,Apple,Tecnologia
GOOGL,Google,Tecnologia
NVDA,Nvidia,Tecnologia
META,Meta,Tecnologia
INTC,Intel,Tecnologia
AMD,Advanced Micro Devices,Tecnologia
TSLA,Tesla,Tecnologia
JPM,JPMorgan Chase,Finanzas
V,Visa,Finanzas
MA,Mastercard,Finanzas
GS,Goldman Sachs,Finanzas
PYPL,PayPal,Finanzas
BRK-B,Berkshire Hathaway,Finanzas
JNJ,Johnson & Johnson,Salud
UNH,UnitedHealth Group,Salud
PFE,Pfizer,Salud
LLY,Eli Lilly,Salud
ABBV,AbbVie,Salud
XOM,Exxon Mobil,Energia
CVX,Chevron,Energia
NEE,NextEra Energy,Energia
FCX ,Freeport-McMoRan,Energia
KO,CocaCola,Consumo Masivo
PG,Procter & Gamble,Consumo Masivo
WMT,Walmart,Consumo Masivo
AMZN,Amazon,Consumo Masivo
DIS,Disney,Consumo Masivo
SBUX,Starbucks,Consumo Masivo
NKE,Nike,Consumo Masivo
HD,Home Depot,Consumo Masivo
COST,Costco Wholesale,Consumo Masivo
CAT,Caterpillar,Industriales y Aeroespaciales
BA,Boeing,Industriales y Aeroespaciales
GE,General Electric,Industriales y Aeroespaciales
HON,Honeywell,Industriales y Aeroespaciales
LMT,Lockheed Martin,Industriales y Aeroespaciales
SPY,S&P 500 ETF Trust,ETF
VOO,Vanguard S&P 500 ETF,ETF
QQQ,Invesco QQQ Trust (Nasdaq 100),ETF
NFLX,Netflix,Tecnologia
TSM,Taiwan Semiconductor Manufactoring,Tecnologia
ASML,ASML Holding,Tecnologia
AVGO,Broadcom,Tecnologia
CRM,Salesforce,Ciberseguridad
PANW,Palo Alto Networks,Ciberseguridad
SNOW,Snowflake,Ciberseguridad
MELI,Mercado Libre,Ecommerce
BABA,Alibaba Group,Ecommerce
SQ ,Block,Ecommerce
AMT,American Tower,Bienes Raices
O,Realy Income,Bienes Raices
CENCOSUD.SN,Cencosud,Consumo Masivo
CHILE.SN,Banco de Chile,Finanzas
ENELCHILE.SN,Enel Chile,Energia
LVMUY,LVMH,Estilo de vida
EL,Estee Lauder,Estilo de vida
UPS,United Parcel Service,Logistica
FDX,FedEx Corporation,Logistica
CP,Canadian Pacific Kansas City,Logistica
DHL.DE,DHL,Logistica
SONY,Sony,Entretenimiento
SPOT,Spotify,Entretenimiento
TMUY,T Mobile US,Medio de comunicacion
CMCSA,Comcast,Medio de comunicacion
TM,Toyota Motor,Industriales y Aeroespaciales
F,Ford Motor Company,Industriales y Aeroespaciales
GM,General Motor,Industriales y Aeroespaciales
RACE,Ferrari,Industriales y Aeroespaciales
COPEC.SN,Empresas Copec,Energia
FALABELLA.SN,Falabella,Consumo Masivo
VAPORES.SN,Compañia Sud Americana de Vapores,Logistica
BSANTANDER.SN,Banco Santander Chile,Finanzas
UBER,Uber Technologies,Tecnologia
SHOP,Shopify,Consumo Masivo
CRWD,CrowdStrike,Ciberseguridad
HMC,Honda Motor,Industriales y Aeroespaciales
BMWYY,BMW,Industriales y Aeroespaciales
WBD,Warner Bros Discovery,Entretenimiento
PARA,Paramount Global,Entretenimiento
MAR,Marriott International,Estilo de vida
HLT,Hilton Worldwide,Estilo de vida
BTC-USD,Bitcoin,Criptomonedas
ETH-USD,Ethereum,Criptomonedas
SOL-USD,Solana,Criptomonedas
BNB-USD,Binance Coin ,Criptomonedas
XRP-USD,XRP (Ripple),Criptomonedas
ADA-USD,Cardano,Criptomonedas
DOT-USD,Polkadot,Criptomonedas
DOGE-USD,Dogecoin,Criptomonedas